participant_id,consent,mode,iteration,target_angle,phase,reaction_time_s,distance_px,dyad_id
,yes,practice,1,0,approach,1.2898,285.0,
,yes,practice,1,0,homing_in,2.498,155.0,
,yes,practice,2,22.5,approach,2.3211,377.43,
,yes,practice,2,22.5,homing_in,1.4239,65.0,
,yes,practice,3,67.5,approach,2.443,413.64,
,yes,practice,3,67.5,homing_in,1.5958,70.0,
,yes,practice,4,90,approach,2.1872,369.5,
,yes,practice,4,90,homing_in,3.2577,170.0,
,yes,practice,5,22.5,approach,1.7309,382.43,
,yes,practice,5,22.5,homing_in,3.2427,165.0,
mads,yes,individual,1,67.5,approach,2.2116,390.0,
mads,yes,individual,1,67.5,homing_in,2.396,105.0,
mads,yes,individual,2,67.5,approach,2.6288,388.28,
mads,yes,individual,2,67.5,homing_in,1.4439,65.0,
mads,yes,individual,3,90,approach,1.3769,285.0,
mads,yes,individual,3,90,homing_in,1.4069,70.0,
mads,yes,individual,4,0,approach,1.2384,285.0,
mads,yes,individual,4,0,homing_in,1.8095,105.0,
mads,yes,individual,5,90,approach,1.3924,285.0,
mads,yes,individual,5,90,homing_in,2.4086,137.0,
mads,yes,individual,6,90,approach,1.3911,285.0,
mads,yes,individual,6,90,homing_in,4.9111,350.0,
mads,yes,individual,7,0,approach,1.255,285.0,
mads,yes,individual,7,0,homing_in,1.8467,105.0,
mads,yes,individual,8,22.5,approach,1.8821,358.64,
mads,yes,individual,8,22.5,homing_in,6.8072,400.0,
mads,yes,individual,9,45,approach,1.7935,425.36,
mads,yes,individual,9,45,homing_in,3.4106,185.0,
mads,yes,individual,10,0,approach,1.2077,285.0,
mads,yes,individual,10,0,homing_in,2.934,175.0,
mads,yes,individual,11,45,approach,2.1384,451.07,
mads,yes,individual,11,45,homing_in,3.9014,225.0,
mads,yes,individual,12,0,approach,1.0679,285.0,
mads,yes,individual,12,0,homing_in,1.2179,65.0,
mads,yes,individual,13,67.5,approach,1.8587,435.36,
mads,yes,individual,13,67.5,homing_in,7.0819,400.0,
mads,yes,individual,14,22.5,approach,1.5297,367.43,
mads,yes,individual,14,22.5,homing_in,2.2519,125.0,
mads,yes,individual,15,22.5,approach,1.7999,380.0,
mads,yes,individual,15,22.5,homing_in,2.8678,155.0,
mads,yes,individual,16,67.5,approach,1.1845,345.0,
mads,yes,individual,16,67.5,homing_in,5.2461,345.0,
mads,yes,individual,17,22.5,approach,2.3388,414.5,
mads,yes,individual,17,22.5,homing_in,2.6861,110.0,
mads,yes,individual,18,45,approach,2.9325,479.5,
mads,yes,individual,18,45,homing_in,2.2905,125.0,
mads,yes,individual,19,45,approach,1.7691,402.43,
mads,yes,individual,19,45,homing_in,4.1018,185.0,
mads,yes,individual,20,90,approach,1.7317,400.0,
mads,yes,individual,20,90,homing_in,5.2842,340.0,
,yes,practice,1,45,approach,2.1767,386.57,
,yes,practice,1,45,homing_in,4.557,260.0,
,yes,practice,2,22.5,approach,1.7978,315.92,
,yes,practice,2,22.5,homing_in,1.4785,65.0,
,yes,practice,3,90,approach,1.7136,285.0,
,yes,practice,3,90,homing_in,1.4234,70.0,
,yes,practice,4,0,approach,1.2385,285.0,
,yes,practice,4,0,homing_in,1.2219,65.0,
,yes,practice,5,45,approach,1.2065,346.63,
,yes,practice,5,45,homing_in,3.8834,244.14,
lasse,yes,individual,1,22.5,approach,2.5848,374.2,
lasse,yes,individual,1,22.5,homing_in,4.4346,250.0,
lasse,yes,individual,2,0,approach,1.2374,285.0,
lasse,yes,individual,2,0,homing_in,2.4267,180.0,
lasse,yes,individual,3,45,approach,1.0353,293.7,
lasse,yes,individual,3,45,homing_in,4.7582,216.21,
lasse,yes,individual,4,67.5,approach,2.0537,398.7,
lasse,yes,individual,4,67.5,homing_in,2.7841,134.14,
lasse,yes,individual,5,90,approach,1.4095,285.0,
lasse,yes,individual,5,90,homing_in,2.1202,130.0,
lasse,yes,individual,6,0,approach,1.2555,285.0,
lasse,yes,individual,6,0,homing_in,3.0691,195.0,
lasse,yes,individual,7,0,approach,1.3026,285.0,
lasse,yes,individual,7,0,homing_in,3.1725,205.0,
lasse,yes,individual,8,90,approach,1.4962,285.0,
lasse,yes,individual,8,90,homing_in,1.2227,70.0,
lasse,yes,individual,9,90,approach,1.2931,285.0,
lasse,yes,individual,9,90,homing_in,2.2247,130.0,
lasse,yes,individual,10,90,approach,1.4591,285.0,
lasse,yes,individual,10,90,homing_in,1.2143,70.0,
lasse,yes,individual,11,67.5,approach,1.2927,320.06,
lasse,yes,individual,11,67.5,homing_in,4.7805,255.0,
lasse,yes,individual,12,22.5,approach,1.2056,307.63,
lasse,yes,individual,12,22.5,homing_in,9.1452,510.36,
lasse,yes,individual,13,67.5,approach,1.7785,373.2,
lasse,yes,individual,13,67.5,homing_in,2.2572,140.0,
lasse,yes,individual,14,0,approach,1.2619,285.0,
lasse,yes,individual,14,0,homing_in,1.2201,70.0,
lasse,yes,individual,15,22.5,approach,1.2615,308.49,
lasse,yes,individual,15,22.5,homing_in,2.8211,117.43,
lasse,yes,individual,16,45,approach,0.9536,285.77,
lasse,yes,individual,16,45,homing_in,4.538,246.21,
lasse,yes,individual,17,45,approach,0.8509,282.84,
lasse,yes,individual,17,45,homing_in,5.7724,295.36,
lasse,yes,individual,18,67.5,approach,1.9327,459.77,
lasse,yes,individual,18,67.5,homing_in,2.7955,194.5,
lasse,yes,individual,19,22.5,approach,1.492,308.49,
lasse,yes,individual,19,22.5,homing_in,6.9093,343.28,
lasse,yes,individual,20,45,approach,0.9626,287.84,
lasse,yes,individual,20,45,homing_in,2.1754,71.57,
mads,yes,playback,1,0,approach,3.6029,395.0,
mads,yes,playback,1,0,homing_in,4.566,290.0,
mads,yes,playback,2,67.5,approach,1.9529,285.0,
mads,yes,playback,2,67.5,homing_in,2.491,155.0,
mads,yes,playback,3,22.5,approach,2.258,420.0,
mads,yes,playback,3,22.5,homing_in,4.5456,266.21,
mads,yes,playback,4,67.5,approach,3.0742,405.0,
mads,yes,playback,4,67.5,homing_in,2.2615,110.0,
mads,yes,playback,5,45,approach,1.864,285.0,
mads,yes,playback,5,45,homing_in,3.0745,197.0,
mads,yes,playback,6,67.5,approach,1.2069,285.0,
mads,yes,playback,6,67.5,homing_in,1.85,105.0,
mads,yes,playback,7,45,approach,2.371,340.0,
mads,yes,playback,7,45,homing_in,9.801,678.99,
mads,yes,playback,8,22.5,approach,1.3191,285.0,
mads,yes,playback,8,22.5,homing_in,1.9704,135.0,
mads,yes,playback,9,90,approach,1.049,285.0,
mads,yes,playback,9,90,homing_in,2.1405,130.0,
mads,yes,playback,10,0,approach,1.325,285.0,
mads,yes,playback,10,0,homing_in,2.7196,202.0,
mads,yes,playback,11,0,approach,1.8368,305.56,
mads,yes,playback,11,0,homing_in,6.9492,447.78,
mads,yes,playback,12,90,approach,2.2469,360.36,
mads,yes,playback,12,90,homing_in,10.5678,748.64,
mads,yes,playback,13,45,approach,2.8028,418.28,
mads,yes,playback,13,45,homing_in,2.2561,174.5,
mads,yes,playback,14,22.5,approach,2.3068,361.92,
mads,yes,playback,14,22.5,homing_in,8.3008,580.36,
mads,yes,playback,15,0,approach,2.2634,380.0,
mads,yes,playback,15,0,homing_in,2.833,175.0,
mads,yes,playback,16,45,approach,1.9369,311.63,
mads,yes,playback,16,45,homing_in,4.5906,267.07,
mads,yes,playback,17,67.5,approach,1.9189,410.0,
mads,yes,playback,17,67.5,homing_in,4.0246,201.21,
mads,yes,playback,18,90,approach,2.3441,395.0,
mads,yes,playback,18,90,homing_in,3.0136,130.0,
mads,yes,playback,19,90,approach,2.5212,385.0,
mads,yes,playback,19,90,homing_in,8.4728,505.36,
mads,yes,playback,20,22.5,approach,1.94,398.28,
mads,yes,playback,20,22.5,homing_in,6.5794,350.0,
mads,yes,ai,1,22.5,approach,1.5451,331.16,
mads,yes,ai,1,22.5,homing_in,2.1549,115.0,
mads,yes,ai,2,67.5,approach,0.5587,302.72,
mads,yes,ai,2,67.5,homing_in,4.1298,303.24,
mads,yes,ai,3,0,approach,1.2718,285.0,
mads,yes,ai,3,0,homing_in,4.9771,400.0,
mads,yes,ai,4,0,approach,1.1888,285.0,
mads,yes,ai,4,0,homing_in,10.548,900.0,
mads,yes,ai,5,67.5,approach,0.3699,302.72,
mads,yes,ai,5,67.5,homing_in,3.9382,353.24,
mads,yes,ai,6,90,approach,1.9125,285.0,
mads,yes,ai,6,90,homing_in,1.9873,135.0,
mads,yes,ai,7,45,approach,0.9825,344.9,
mads,yes,ai,7,45,homing_in,1.2262,65.03,
mads,yes,ai,8,67.5,approach,1.608,330.4,
mads,yes,ai,8,67.5,homing_in,2.2778,140.0,
mads,yes,ai,9,45,approach,0.8489,344.9,
mads,yes,ai,9,45,homing_in,1.222,65.03,
mads,yes,ai,10,22.5,approach,0.7099,301.89,
mads,yes,ai,10,22.5,homing_in,2.7687,228.2,
mads,yes,ai,11,22.5,approach,1.0797,331.16,
mads,yes,ai,11,22.5,homing_in,1.2267,65.0,
mads,yes,ai,12,90,approach,0.5594,317.19,
mads,yes,ai,12,90,homing_in,4.3582,351.99,
mads,yes,ai,13,45,approach,1.3047,340.74,
mads,yes,ai,13,45,homing_in,1.2248,65.04,
mads,yes,ai,14,45,approach,0.8856,345.75,
mads,yes,ai,14,45,homing_in,5.8885,460.03,
mads,yes,ai,15,67.5,approach,0.4443,302.72,
mads,yes,ai,15,67.5,homing_in,1.5771,118.21,
mads,yes,ai,16,90,approach,1.6129,285.0,
mads,yes,ai,16,90,homing_in,1.2154,65.0,
mads,yes,ai,17,90,approach,1.2226,285.0,
mads,yes,ai,17,90,homing_in,1.2194,70.0,
mads,yes,ai,18,0,approach,1.2718,447.19,
mads,yes,ai,18,0,homing_in,2.5279,175.04,
mads,yes,ai,19,22.5,approach,0.5752,301.89,
mads,yes,ai,19,22.5,homing_in,2.0522,138.19,
mads,yes,ai,20,0,approach,1.0312,457.21,
mads,yes,ai,20,0,homing_in,2.2942,155.02,
lasse,yes,playback,1,45,approach,1.9372,378.64,
lasse,yes,playback,1,45,homing_in,4.3515,285.28,
lasse,yes,playback,2,67.5,approach,1.4039,349.85,
lasse,yes,playback,2,67.5,homing_in,2.5745,165.0,
lasse,yes,playback,3,22.5,approach,2.4593,566.34,
lasse,yes,playback,3,22.5,homing_in,3.3125,254.5,
lasse,yes,playback,4,90,approach,1.2874,285.0,
lasse,yes,playback,4,90,homing_in,4.5003,370.0,
lasse,yes,playback,5,0,approach,1.2055,285.0,
lasse,yes,playback,5,0,homing_in,1.2222,70.0,
lasse,yes,playback,6,67.5,approach,1.2526,285.0,
lasse,yes,playback,6,67.5,homing_in,1.227,70.0,
lasse,yes,playback,7,0,approach,2.4798,675.48,
lasse,yes,playback,7,0,homing_in,5.4012,380.0,
lasse,yes,playback,8,67.5,approach,2.1402,380.0,
lasse,yes,playback,8,67.5,homing_in,8.3317,385.0,
lasse,yes,playback,9,45,approach,1.8341,373.85,
lasse,yes,playback,9,45,homing_in,4.8768,253.28,
lasse,yes,playback,10,67.5,approach,1.2577,285.0,
lasse,yes,playback,10,67.5,homing_in,2.8538,225.0,
lasse,yes,playback,11,22.5,approach,3.1524,442.43,
lasse,yes,playback,11,22.5,homing_in,8.7964,760.36,
lasse,yes,playback,12,45,approach,2.1529,532.49,
lasse,yes,playback,12,45,homing_in,1.3406,81.21,
lasse,yes,playback,13,22.5,approach,1.6832,358.28,
lasse,yes,playback,13,22.5,homing_in,6.8328,205.0,
lasse,yes,playback,14,0,approach,2.5407,430.36,
lasse,yes,playback,14,0,homing_in,1.4268,65.0,
lasse,yes,playback,15,22.5,approach,2.8022,395.0,
lasse,yes,playback,15,22.5,homing_in,1.4243,70.0,
lasse,yes,playback,16,0,approach,1.3584,309.71,
lasse,yes,playback,16,0,homing_in,6.0916,285.0,
lasse,yes,playback,17,90,approach,2.3102,380.0,
lasse,yes,playback,17,90,homing_in,4.3911,229.14,
lasse,yes,playback,18,90,approach,3.9516,423.28,
lasse,yes,playback,18,90,homing_in,2.291,125.0,
lasse,yes,playback,19,45,approach,1.8533,430.0,
lasse,yes,playback,19,45,homing_in,4.3333,110.0,
lasse,yes,playback,20,90,approach,1.4751,325.71,
lasse,yes,playback,20,90,homing_in,6.9493,488.07,
lasse,yes,ai,1,90,approach,1.8164,308.45,
lasse,yes,ai,1,90,homing_in,1.9168,119.96,
lasse,yes,ai,2,22.5,approach,1.1309,331.16,
lasse,yes,ai,2,22.5,homing_in,1.222,65.0,
lasse,yes,ai,3,22.5,approach,1.1384,331.16,
lasse,yes,ai,3,22.5,homing_in,6.006,425.0,
lasse,yes,ai,4,45,approach,0.6294,345.75,
lasse,yes,ai,4,45,homing_in,1.2228,65.03,
lasse,yes,ai,5,90,approach,1.442,447.19,
lasse,yes,ai,5,90,homing_in,7.3494,525.04,
lasse,yes,ai,6,45,approach,1.3262,344.9,
lasse,yes,ai,6,45,homing_in,2.0696,130.03,
lasse,yes,ai,7,90,approach,1.2305,285.0,
lasse,yes,ai,7,90,homing_in,2.102,130.0,
lasse,yes,ai,8,22.5,approach,1.0333,301.89,
lasse,yes,ai,8,22.5,homing_in,2.7464,208.2,
lasse,yes,ai,9,45,approach,0.8431,344.9,
lasse,yes,ai,9,45,homing_in,1.2288,65.03,
lasse,yes,ai,10,67.5,approach,1.0884,330.4,
lasse,yes,ai,10,67.5,homing_in,1.216,65.0,
lasse,yes,ai,11,0,approach,1.2704,285.0,
lasse,yes,ai,11,0,homing_in,2.5745,175.0,
lasse,yes,ai,12,0,approach,1.2058,285.0,
lasse,yes,ai,12,0,homing_in,2.4774,165.0,
lasse,yes,ai,13,0,approach,1.2082,285.0,
lasse,yes,ai,13,0,homing_in,1.2196,65.0,
lasse,yes,ai,14,90,approach,1.5397,447.19,
lasse,yes,ai,14,90,homing_in,2.5927,195.04,
lasse,yes,ai,15,22.5,approach,1.1006,331.16,
lasse,yes,ai,15,22.5,homing_in,3.9406,285.0,
lasse,yes,ai,16,67.5,approach,1.1872,330.4,
lasse,yes,ai,16,67.5,homing_in,1.2242,70.0,
lasse,yes,ai,17,45,approach,0.8318,344.9,
lasse,yes,ai,17,45,homing_in,1.2211,70.03,
lasse,yes,ai,18,0,approach,0.9162,417.01,
lasse,yes,ai,18,0,homing_in,8.0255,515.18,
lasse,yes,ai,19,67.5,approach,1.1374,330.4,
lasse,yes,ai,19,67.5,homing_in,1.2253,70.0,
lasse,yes,ai,20,67.5,approach,1.2356,330.4,
lasse,yes,ai,20,67.5,homing_in,1.2235,65.0,
,yes,practice,1,90,approach,1.5643,285.0,
,yes,practice,1,90,homing_in,2.9283,125.0,
,yes,practice,2,45,approach,0.9669,282.84,
,yes,practice,2,45,homing_in,1.1567,70.71,
,yes,practice,3,22.5,approach,1.2551,320.06,
,yes,practice,3,22.5,homing_in,2.817,165.0,
,yes,practice,4,22.5,approach,1.1905,320.06,
,yes,practice,4,22.5,homing_in,3.5965,155.0,
,yes,practice,5,67.5,approach,1.2246,315.92,
,yes,practice,5,67.5,homing_in,3.9594,131.21,
jens,yes,individual,1,0,approach,1.2901,301.57,
jens,yes,individual,1,0,homing_in,1.2245,70.0,
jens,yes,individual,2,45,approach,0.9152,282.84,
jens,yes,individual,2,45,homing_in,1.7951,109.85,
jens,yes,individual,3,67.5,approach,1.208,313.85,
jens,yes,individual,3,67.5,homing_in,1.2287,74.14,
jens,yes,individual,4,90,approach,1.3655,285.0,
jens,yes,individual,4,90,homing_in,1.219,70.0,
jens,yes,individual,5,22.5,approach,1.1699,320.92,
jens,yes,individual,5,22.5,homing_in,4.0214,115.0,
jens,yes,individual,6,22.5,approach,1.2748,317.99,
jens,yes,individual,6,22.5,homing_in,8.1726,465.0,
jens,yes,individual,7,67.5,approach,1.1667,313.85,
jens,yes,individual,7,67.5,homing_in,2.0239,80.0,
jens,yes,individual,8,0,approach,1.2913,297.43,
jens,yes,individual,8,0,homing_in,1.9564,100.0,
jens,yes,individual,9,0,approach,1.3602,285.0,
jens,yes,individual,9,0,homing_in,1.2231,65.0,
jens,yes,individual,10,67.5,approach,1.3559,313.85,
jens,yes,individual,10,67.5,homing_in,1.648,100.0,
jens,yes,individual,11,45,approach,1.0355,282.84,
jens,yes,individual,11,45,homing_in,3.1237,154.35,
jens,yes,individual,12,0,approach,1.2762,285.0,
jens,yes,individual,12,0,homing_in,1.4265,70.0,
jens,yes,individual,13,90,approach,1.3745,285.0,
jens,yes,individual,13,90,homing_in,2.6351,100.0,
jens,yes,individual,14,22.5,approach,1.1836,320.06,
jens,yes,individual,14,22.5,homing_in,4.6068,280.0,
jens,yes,individual,15,45,approach,0.967,282.84,
jens,yes,individual,15,45,homing_in,5.8758,254.35,
jens,yes,individual,16,45,approach,0.9825,287.84,
jens,yes,individual,16,45,homing_in,1.1481,63.64,
jens,yes,individual,17,22.5,approach,1.4779,336.92,
jens,yes,individual,17,22.5,homing_in,4.0203,308.64,
jens,yes,individual,18,90,approach,1.3767,285.0,
jens,yes,individual,18,90,homing_in,1.4628,70.0,
jens,yes,individual,19,67.5,approach,1.1648,320.06,
jens,yes,individual,19,67.5,homing_in,1.7991,118.28,
jens,yes,individual,20,90,approach,1.6089,285.0,
jens,yes,individual,20,90,homing_in,1.4415,70.0,
jens,yes,playback,1,45,approach,3.2233,395.0,
jens,yes,playback,1,45,homing_in,1.6772,70.0,
jens,yes,playback,2,22.5,approach,3.6536,455.0,
jens,yes,playback,2,22.5,homing_in,1.4437,72.07,
jens,yes,playback,3,67.5,approach,2.3899,375.0,
jens,yes,playback,3,67.5,homing_in,1.4082,70.0,
jens,yes,playback,4,0,approach,2.2584,285.0,
jens,yes,playback,4,0,homing_in,1.8182,105.0,
jens,yes,playback,5,22.5,approach,2.403,285.0,
jens,yes,playback,5,22.5,homing_in,2.4175,137.0,
jens,yes,playback,6,67.5,approach,1.3071,285.0,
jens,yes,playback,6,67.5,homing_in,1.2194,70.0,
jens,yes,playback,7,22.5,approach,1.3077,285.0,
jens,yes,playback,7,22.5,homing_in,1.4617,70.0,
jens,yes,playback,8,67.5,approach,2.1349,375.0,
jens,yes,playback,8,67.5,homing_in,7.5811,195.0,
jens,yes,playback,9,22.5,approach,1.8418,424.14,
jens,yes,playback,9,22.5,homing_in,4.3935,135.0,
jens,yes,playback,10,90,approach,1.2203,285.0,
jens,yes,playback,10,90,homing_in,3.0134,245.0,
jens,yes,playback,11,45,approach,1.8837,421.21,
jens,yes,playback,11,45,homing_in,5.1829,210.0,
jens,yes,playback,12,90,approach,1.2045,285.0,
jens,yes,playback,12,90,homing_in,1.6099,90.0,
jens,yes,playback,13,0,approach,1.6595,380.0,
jens,yes,playback,13,0,homing_in,6.8689,191.21,
jens,yes,playback,14,45,approach,2.0523,388.28,
jens,yes,playback,14,45,homing_in,2.7486,115.0,
jens,yes,playback,15,0,approach,2.0522,384.14,
